"код","Название"
"5044","Офисное, фотографическое, фотокопировальное, и микрофильмирующее оборудование"
"5045","Компьютеры, периферийное компьютерное оборудование, программное обеспечение"
"5046","Коммерческое оборудование - нигде более не классифицированное"
"5047","Стоматологичееское/лабороторное/медицинское/офтальмологическое стацоинарное оборудование и устройства"
"5051","Центры и офисы работ по металлу"
"5065","Электро-комплектуюшие и электро-оборудование"
"5072","Оборудование и сопутствующие материалы для технического обеспечения"
"5074","Оборудование для водопровода и отопительной системы"
"5085","Промышленное оборудование -нигде более не классифицированное"
"5094","Драгоценные камни и металлы, часы и ювелирные изделия"
"5099","Потребительские товары длительного пользования (товары, которые не изнашиваются полностью в течение года и используются в течение относительно длительного периода времени: телевизоры, бытовые приборы, компьютеры, мебель и т. д.)"
"5111","Канцелярия, офисные сопутствующие товары, бумага для печатания и письма"
"5122","Продажа витаминов, косметики, медицинской продукции"
"5131","Штучные товары, галантерея и другие текстильные товары"
"5137","Униформа, одежда для предприятий"
"5139","Продажа обуви"
"5169","Химикалии и смежные вещества , не классифицированные ранее"
"5172","Нефть и нефтепродукты"
"5192","Книги, периодические издания и газеты"
"5193","Оборудование для выращивания растений, инвентарь для питомников и цветы"
"5198","Лакокрасочная продукция и сопровождающие товары"
"5199","Товары недлительного пользования, не классифицированные ранее"
"5200","Магазины бытовой техники"
"5211","Лесо- и строительный материал"
"5231","Розничная продажа стекла, красок и обоев"
"5251","Скобяные товары в розницу"
"5261","Садовые принадлежности (в том числе для ухода за газонами) в розницу"
"5271","Продажа жилых фургонов"
"5300","Оптовики"
"5309","Беспошлинные магазины duty free"
"5310","Магазины, торгующие по сниженным ценам"
"5311","Универмаги"
"5331","Универсальные магазины"
"5399","Различные товары общего назначения"
"5411","Продуктовые магазины, супермаркеты"
"5422","Продажа свежего и мороженого мяса"
"5441","Кондитерские"
"5451","Продажа молочных продуктов в розницу"
"5462","Булочные, пекарни"
"5499","Различные продовольственные магазины - рынки, магазины со спец. ассортиментом, продажа полуфабрикатов, фирменных блюд, продажа с помощью торговых автоматов"
"5511","Легковой и грузовой транспорт - продажа, сервис, ремонт, запчасти и лизинг"
"5521","Продажа легковых и грузовых автомобилей (только подержанных)"
"5531","Магазины автомобильных и бытовых принадлежностей"
"5532","Магазины автомобильных покрышек"
"5533","Запчасти, автомобильные аксессуары"
"5541","Бензиновые станции обслуживания (с или без дополнительного сервиса)"
"5542","Автоматизированные бензозаправки"
"5551","Продажа лодок"
"5561","Дома- автоприцепы, жилые неразборные и грузовые прицепы"
"5571","Продажа мотоциклов"
"5592","Продажа домов на колесах"
"5598","Продажа снегоходов"
"5599","Автодиллеры"
"5611","Мужская и подростковая одежда и аксессуары"
"5621","Магазины женской одежды"
"5631","Женские магазины аксессуаров"
"5641","Магазины детской одежды"
"5651","Семейные магазины одежды"
"5655","Спортивная одежда, одежда для верховой езды и езды на мотоцикле"
"5661","Магазины обуви"
"5681","Изготовление и продажа меховых изделий"
"5691","Магазины мужской и женской одежды"
"5697","Ателье"
"5698","Парики и накладки из искусственных волос"
"5699","Магазины одежды и аксессуаров"
"5712","Оборудование, мебель и бытовые принадлежности (кроме электрооборудования)"
"5713","Покрытия для пола"
"5714","Ткани, обивочный материал, гардины и портьеры, жалюзи"
"5718","Продажа каминов, экранов для каминов и аксессуаров"
"5719","Различные специализирован-ные магазины бытовых принадлежностей"
"5722","Другие магазины оборудования, домашние приборы"
"5732","Магазины электро-товаров"
"5733","Продажа музыкальных инструментов, фортепиано, нот"
"5734","Продажа компьютерного программного обеспечения"
"5735","Магазины звукозаписи"
"5811","Поставщики провизии"
"5812","Рестораны, места общественного питания"
"5813","Бары, коктейль-бары, дискотеки, ночные клубы и таверны - места продажи алкогольных напитков"
"5814","Рестораны быстрого обслуживания"
"5816","Цифровые товары – игры"
"5912","Аптеки, фармацевтические магазины"
"5921","Магазины с продажей спиртных напитков навынос (пиво, вино и ликер)"
"5931","Магазины second hand, магазины б/у товаров, комиссионки"
"5932","Антикварные магазины - продажа, ремонт и услуги восстановления"
"5933","Ломбарды"
"5935","Магазины сбора и использования утиль сырья (переработанной продукции или брака)"
"5937","Магазины продажи репродукций и антиквариата"
"5940","Веломагазины - продажа и обслуживание"
"5941","Магазины спортивных товаров"
"5942","Книжные магазины"
"5943","Магазины офисных, школьных принадлежностей, канцтоваров"
"5944","Магазины по продаже часов, ювелирных изделий и изделий из серебра"
"5945","Детские магазины"
"5946","Магазины по продаже камер, фильмов, видео и другого фотографического оборудования и приборов"
"5947","Магазины открыток, подарков, новинок и сувениров"
"5948","Магазины кожаных изделий, багажных сумок"
"5949","Магазины ткани, ниток рукоделия, шитья"
"5950","Магазины хрусталя и изделий из стекла"
"5960","Прямой маркетинг - услуги по страхованию"
"5962","Прямые продажи туристических путевок (кроме туристических агенств)"
"5963","Распродажа из рук в руки (вразнос)"
"5964","Прямой маркетинг - торговля по каталогам"
"5965","Прямой маркетинг - комбинированный каталог и торговцы в розницу"
"5966","Прямой маркетинг - исходящий телемаркетинг"
"5967","Прямой маркетинг - входящий телемаркетинг"
"5968","Прямой маркетинг - торговые точки подписки"
"5969","Прямой маркетинг - другие торговые точки прямого маркетинга (нигде более не классифицированные)"
"5970","Магазины художественных и ремесляных изделий"
"5971","Галереи и художественные посредники"
"5972","Магазины монет и марок (филателические и нумизматические)"
"5973","Магазины религиозных товаров"
"5975","Продажа слуховых аппаратов"
"5976","Ортопедические товары"
"5977","Магазины косметики"
"5978","Магазины печатающих устройств - аренда, распродажа, услуги"
"5983","Горючее топливо - уголь, нефть, разжиженный бензин, дрова"
"5992","Флористика"
"5993","Табачные магазины"
"5994","Дилеры по продаже печатной продукции"
"5995","Зоомагазины"
"5996","Плавательные бассейны - распродажа"
"5997","Магазины электрических бритвенных принадлежностей - распродажа и услуги"
"5998","Магазины палаток и навесов"
"5999","Различные магазины и специальные розничные магазины"
"6010","Финансовые институты - снятие наличности вручную"
"6011","Финансовые институты - снятие наличности автоматически"
"6012","Финансовые институты - торговля и услуги"
"6051","Не-финансовые институты - иностранная валюта, денежные переводы (непередаваемые), дорожные чеки, квази-кэш"
"6211","Ценные бумаги- брокеры/дилеры"
"6300","Продажа страхования, гарантированное размещение, премии"
"6536","Денежные переводы MasterCard MoneySend - внутри страны"
"6537","Денежные переводы MasterCard MoneySend - между странами"
"6538","Денежные переводы MasterCard MoneySend Funding"
"6539","Транзакция по финансированию (исключая MoneySend)"
"6540","Транзакции по финансированию POI (за исключением MoneySend)"
"7011","Отели, сдаваемое жилье, не представленное в списке"
"7230","Парикмахерские, салоны красоты"
"7278","Клубы оказывающие сервис по покупке"
"7296","Сдача в аренду костюмов, униформы, простой одежды"
"7297","Массажная приемная. Терапевтические приемные, предлагающие услуги массажа."
"7298","Салоны СПА-терапии"
"7299","Иной сервис"
"7311","Рекламные услуги"
"7321","Агентства по составлению отчетов потребительских долгов"
"7333","Коммерческая графика, фотографии, арт-дизайн"
"7338","Услуги копировальных центров"
"7339","Услуги стенографии и секретарского дела"
"7342","Истребление насекомых и дезинфекция"
"7349","Уборка и чистка помещений"
"7361","Центры занятости"
"7372","Программирование, обработка данных, интегрированные системы, дизайн"
"7375","Информационные провайдеры"
"7379","Ремонт и техническое обслуживание компьютерной техники"
"7392","Консультация, мэнеджмент, паблик-рилэйшн услуги"
"7393","Детективные, охранные агенства, вкл. бронированные автомобили и сторожевых собак"
"7394","Сдача в аренду оборудования, мебели, инструментов"
"7395","Фотостудии, фотолаборатории"
"7399","Бизнес - сервис"
"7512","Прокат автомобилей."
"7513","Прокат аксессуаров для трэйлеров и грузовиков"
"7519","Прокат домиков на колесах, аксессуары к наземному транспорту"
"7523","Паркинги и гаражи"
"7531","Станции технического обслуживания для автомобильного транспорта"
"7534","Восстановление и ремонт покрышек"
"7535","Покраска автомобилей и автосервис"
"7538","Магазины автосервиса"
"7542","Автомойки"
"7549","Буксировка"
"7622","Ремонт электроники"
"7623","Ремонт и запрака кондиционеров и холодильников"
"7629","Ремонт бытовой техники. ремонт электроприборы"
"7631","Центры ремонта часов и чистки ювелирных изделий"
"7641","Мебель - обивка, ремонт и реставрация"
"7692","Ремонт с помощью сварки"
"7699","Общий ремонт"
"7829","Производство и дистрибуция видеофильмов"
"7832","Кинотеатры"
"7841","Видеопрокат"
"7911","Танцклубы, танцшколы и студии"
"7922","Агентства по продаже билетов"
"7929","Музыкальные группы, оркестры и прочие развлекательные услуги"
"7932","Бильярд и Пул"
"7933","Боулинг"
"7941","Спортивные поля, коммерческие спортивные состязания, профессиональные спортивные клубы, спортивные промоутеры"
"7991","Туристические аттракционы и шоу"
"7992","Поля для гольфа, публичные"
"7993","Принадлежности для Видеоигр"
"7994","Галереи/учреждения видеоигр"
"7995","Транзакции по азартным играм"
"7996","Луна-парки, карнавалы, цирки, предсказатели будущего"
"7997","Спортивные клубы и секции"
"7998","Аквариумы, дельфинариумы, зверинцы, и морские парки"
"7999","Спортивные развлечения"
"8011","Доктора - нигде ранее не классифицируемые"
"8021","Дантисты, ортодантисты"
"8031","Врачи узкой специализации (Остеопаты)"
"8041","Хиропрактики"
"8042","Оптометристы, офтальмологи"
"8043","Оптика, оптические товары, и очки"
"8049","Врачи узкой специализации (Ортопеды)"
"8050","Уход и Средства Персонального обслуживания (санатории, роддома, дома пристарелых)"
"8062","Больницы"
"8071","Зубные и медицинские лаборатории"
"8099","Медицинские услуги, не представленные в списке"
"8111","Адвокаты, юридические услуги"
"8211","Школы, начальная и средняя"
"8220","Колледжи, университеты, профессиональные школы, и младшие колледжи"
"8241","Школы, корреспонденция"
"8244","Школы, бизнес и секретарей"
"8249","Школы, торговые и профессионально-технические"
"8299","Услуги ухода за детьми"
"8398","Организации благотворительные и общественные службы"
"8641","Ассоциации - гражданские, социальные, и братские"
"8651","Организации, политические"
"8661","Организации, религиозные"
"8675","Автомобильные ассоциации"
"8699","Организации, членство - нигде ранее не классифицируемые"
"8734","Испытательные лаборатории (не-медицинские)"
"8911","Архитектурные, инжиниринговые услуги и услуги рассмотрения"
"8931","Бухгалтерский учет, ревизия, и бухгалтерские услуги"
"8999","Профессиональные услуги - нигде ранее не классифицируемые"
"9211","Судовые выплаты, включая алименты и детскую поддержку"
"9222","Штрафы"
"9223","Залог и платежные обязательства"
"9311","Налоговые платежи"
"9399","Правительственные услуги - нигде ранее не классифицируемые"
"9402","Почтовые услуги - правительство только"
"9405","Внутриправительственные закупки -только правительство"
"9751","Великобритания. универсамы. Электронный Горячий Файл"
"9752","Британские бензозаправочные станции. Электронный Горячий Файл"
"5815","Цифровые товары - аудиовизуальные медиа, включая книги, фильмы и музыку"
"5818","Цифровые товары - мультикатегория"
